bookID,title,authors,average_rating
16806,The Man and the Author: John Milton: Twentieth Century Perspectives,J. Martin Evans,0
12712,Brodie's notes on Aldous Huxley's brave new world,Graham Handley,0
15186,American Film Guide,Frank N. Magill,0
10200,Venac sonetnih venaca; Puževa srma,Dobrica Erić,0
1302,Juiced Official Strategy Guide,Doug Walsh,0
9337,How To Meditate: An Anthology Of Talks On Meditation And Meditation: The Bridge Is Flowing But The River Is Not,Frederick P. Lenz,0
799,Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,0
3351,Open City 6: The Only Woman He Ever Left,Open City Magazine/James Purdy/Daniel Pinchbeck/Michael Cunningham/Deborah Garrison/Rem Koolhaas/Rick Moody/Strawberry Saroyan/Debra Garrison,0
9338,Insights: Talks On The Nature Of Existence,Frederick P. Lenz,0
19257,Canopy: A Work for Voice and Light in Harvard Yard,David   Ward/Parveen Adams/Seamus Heaney/Ivan Gaskell,0
