bookID,title,authors,average_rating,language_code,num_pages,ratings_count,publication_date,publisher
15186,American Film Guide,Frank N. Magill,0,eng,5,0,1983-01-01,Salem Press Inc
27416,Mythographi Graeci 1: Apollodori Bibliotheca  Apollodori epitoma  Procli excerpta ex cycli epici carminibus  Pediasmi libellus de duodecim Herculis...Graecorum et Romanorum Teubneriana,Apollodorus/Richard Wagner,0,grc,335,0,1998-07-15,K.G. Saur Verlag
45259,Anthony Thwaite: In Conversation With Peter Dale and Ian Hamilton,Peter  Dale/Ian          Hamilton/Anthony Thwaite,0,eng,96,0,1999-12-09,Between the Lines Productions
29091,The Berlin Phenomenology,Georg Wilhelm Friedrich Hegel/Michael John Petry,0,eng,210,0,1981-05-31,Springer
10200,Venac sonetnih venaca; Puževa srma,Dobrica Erić,0,srp,222,0,1996-01-01,Izdavačka agencija Draganić
19257,Canopy: A Work for Voice and Light in Harvard Yard,David   Ward/Parveen Adams/Seamus Heaney/Ivan Gaskell,0,eng,63,0,1997-12-31,Arts Publications
37467,Classroom Interactions as Cross-Cultural Encounters: Native Speakers in EFL Lessons,Jasmine C.M. Luk/Angel M.Y. Lin,0,eng,241,0,2006-08-05,Routledge
24010,Laguna  I Love You: The Best of Our Town,John Weld/Phil Interlandi,0,eng,285,0,1996-03-01,Fithian Press
30080,Beckett Football Card Price Guide,Dan Hitt/James Beckett III,0,eng,830,0,2006-09-01,Beckett Media
28467,Sclerotherapy and vein treatment,Robert A. Weiss/Margaret A. Weiss/Karen L. Beasley,0,eng,248,0,2011-12-30,McGraw-Hill Professional Publishing
42758,The Fantastic Vampire: Studies in the Children of the Night: Selected Essays from the Eighteenth International Conference on the Fantastic in the Arts,James Craig Holte,0,eng,176,0,2002-03-30,Greenwood Press
16806,The Man and the Author: John Milton: Twentieth Century Perspectives,J. Martin Evans,0,eng,386,0,2002-11-08,Routledge
36946,Random House Crossword Mega Omnibus  Volume 1,United Feature Syndication,0,eng,336,0,1997-07-22,Random House Puzzles & Games
1302,Juiced Official Strategy Guide,Doug Walsh,0,eng,112,0,2005-06-01,BradyGames
25903,I'll Be Home Before Midnight and I Won't Get Pregnant,Anthony E. Wolf,0,eng,288,0,1988-05-12,Knopf Doubleday Publishing Group
41044,Day and Night,Better Homes and Gardens,0,eng,32,0,1989-03-01,Meredith Corporation
25841,The Road To War  1933 39,Andrew      Hunt,0,eng,128,0,2000-04-01,Hodder & Stoughton Educational Division
44705,The Leadership Challenge: Skills for Taking Charge,Warren G. Bennis,0,eng,60,0,1985-12-01,AMR/Advanced Management Reports
12712,Brodie's notes on Aldous Huxley's brave new world,Graham Handley,0,eng,71,0,1992-08-20,Macmillan
3351,Open City 6: The Only Woman He Ever Left,Open City Magazine/James Purdy/Daniel Pinchbeck/Michael Cunningham/Deborah Garrison/Rem Koolhaas/Rick Moody/Strawberry Saroyan/Debra Garrison,0,eng,200,0,2000-10-13,Grove Press  Open City Books
