bookID,title,authors,ratings_count
2411,Melville and the politics of identity: From *King Lear* to *Moby-Dick*,Julian Markels,0
3351,Open City 6: The Only Woman He Ever Left,Open City Magazine/James Purdy/Daniel Pinchbeck/Michael Cunningham/Deborah Garrison/Rem Koolhaas/Rick Moody/Strawberry Saroyan/Debra Garrison,0
2034,Comoediae 1: Acharenses/Equites/Nubes/Vespae/Pax/Aves,Aristophanes/F.W. Hall/W.M. Geldart,0
1302,Juiced Official Strategy Guide,Doug Walsh,0
1664,Essentials of American and Texas Government: Continuity and Change,Karen  O'Connor/Larry J. Sabato,0
3084,April  May und June,Elizabeth von Arnim,0
797,Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters,0
1658,American Government: Continuity and Change  Alternate Edition,Karen  O'Connor/Larry J. Sabato,0
799,Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,0
3754,Dr No / Moonraker / Thunderball / From Russia with Love / On Her Majesty's Secret Service / Goldfinger,Ian Fleming,0
