bookID,title,authors,publication_date,publisher
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,2006-09-16,Scholastic Inc.
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,2004-09-01,Scholastic Inc.
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,2003-11-01,Scholastic
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,2004-05-01,Scholastic Inc.
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,2004-09-13,Scholastic
9,Unauthorized Harry Potter Book Seven News: Half-Blood Prince Analysis and Speculation,W. Frederick Zimmerman,2005-04-26,Nimble Books
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,2005-09-12,Scholastic
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,2005-11-01,Gramercy Books
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,2002-04-30,Del Rey Books
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,2004-08-03,Crown
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,2005-03-23,Random House Audio
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,1996-01-17,Wings Books
21,A Short History of Nearly Everything,Bill Bryson,2004-09-14,Broadway Books
22,Bill Bryson's African Diary,Bill Bryson,2002-12-03,Broadway Books
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,2004-09-14,Broadway Books
24,In a Sunburned Country,Bill Bryson,2001-05-15,Broadway Books
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,2000-06-28,Broadway Books
26,The Lost Continent: Travels in Small Town America,Bill Bryson,1990-08-28,William Morrow Paperbacks
27,Neither Here nor There: Travels in Europe,Bill Bryson,1993-03-28,William Morrow Paperbacks
28,Notes from a Small Island,Bill Bryson,1997-05-28,William Morrow Paperbacks
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,1991-09-28,William Morrow Paperbacks
